Adventist Medical Center, Hanford;36.3236205,-119.6672586
Los Robles Hospital & Medical Center, Thousand Oaks;34.2077675,-118.8830459
Los Robles Hospital & Medical Center, Thousand Oaks;34.2077675,-118.8830459
Los Robles Hospital & Medical Center, Thousand Oaks;34.2077675,-118.8830459
Los Robles Hospital & Medical Center, Thousand Oaks;34.2077675,-118.8830459
Los Robles Hospital & Medical Center, Thousand Oaks;34.2077675,-118.8830459
Lucile Salter Packard Children's Hospital at Stanford, Palo Alto;37.424106,-122.1660756
Lucile Salter Packard Children's Hospital at Stanford, Palo Alto;37.424106,-122.1660756
Lucile Salter Packard Children's Hospital at Stanford, Palo Alto;37.424106,-122.1660756
Mad River Community Hospital, Arcata;40.8964398,-124.0915454
Mad River Community Hospital, Arcata;40.8964398,-124.0915454
Madera Community Hospital;36.9439175,-120.0449576
Mammoth Hospital;37.6439954,-118.9638691
Marian Regional Medical Center;34.9514687,-120.4130601
Marian Regional Medical Center;34.9514687,-120.4130601
Marian Regional Medical Center;34.9514687,-120.4130601
Marian Regional Medical Center, Arroyo Grande;35.1185868,-120.5907252
Marin General Hospital, Greenbrae;37.9473144,-122.5361286
Marin General Hospital, Greenbrae;37.9473144,-122.5361286
Marin General Hospital, Greenbrae;37.9473144,-122.5361286
Marin General Hospital, Greenbrae;37.9473144,-122.5361286
Marina Del Rey Hospital;33.98203,-118.439331
Marina Del Rey Hospital;33.98203,-118.439331
Marina Del Rey Hospital;33.98203,-118.439331
Mark Twain Medical Center, San andreas;38.1905805,-120.6699108
Marshall Medical Center (1-Rh), Placerville;38.7296252,-120.798546
Marshall Medical Center (1-Rh), Placerville;38.7296252,-120.798546
Mayers Memorial Hospital, Fall River Mills;41.0046076,-121.4383139
Memorial Hospital Los Banos;37.0641924,-120.8595842
Memorial Hospital of Gardena;33.892792,-118.294816
Memorial Hospital of Gardena;33.892792,-118.294816
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Memorial Medical Center, Modesto;37.6686201,-120.973681
Mendocino Coast District Hospital, Fort Bragg;39.4316224,-123.8003007
Menifee Valley Medical Center, Sun City;33.7190637,-117.1675017
Menifee Valley Medical Center, Sun City;33.7190637,-117.1675017
Menlo Park Surgical Hospital;37.4615675,-122.1590676
Mercy General Hospital, Sacramento;38.5705253,-121.45216
Mercy General Hospital, Sacramento;38.5705253,-121.45216
Mercy General Hospital, Sacramento;38.5705253,-121.45216
Mercy General Hospital, Sacramento;38.5705253,-121.45216
Mercy General Hospital, Sacramento;38.5705253,-121.45216
Mercy Hospital of Folsom;38.6703237,-121.1458215
Mercy Hospital of Folsom;38.6703237,-121.1458215
Mercy Hospital, Bakersfield;,
Mercy Hospital, Bakersfield;35.3727855,-119.0281718
Mercy Hospital, Bakersfield;35.3727855,-119.0281718
Mercy Hospital, Bakersfield;35.3727855,-119.0281718
Mercy Hospital, Bakersfield;35.3727855,-119.0281718
Mercy Medical Center Merced;37.3120941,-120.4777782
Mercy Medical Center Merced;37.3120941,-120.4777782
Mercy Medical Center Merced;37.3120941,-120.4777782
Mercy Medical Center Mt. Shasta;41.3186479,-122.3200258
Mercy Medical Center Redding;40.571723,-122.3951878
Mercy Medical Center Redding;40.571723,-122.3951878
Mercy Medical Center Redding;40.571723,-122.3951878
Mercy Medical Center Redding;40.571723,-122.3951878
Mercy Medical Center Redding;40.571723,-122.3951878
Mercy San Juan Medical Center, Carmichael;38.669555,-121.313778
Mercy San Juan Medical Center, Carmichael;38.669555,-121.313778
Mercy San Juan Medical Center, Carmichael;38.669555,-121.313778
Mercy San Juan Medical Center, Carmichael;38.669555,-121.313778
Mercy San Juan Medical Center, Carmichael;38.669555,-121.313778
Methodist Hospital of Sacramento;38.462922,-121.4166888
Methodist Hospital of Sacramento;38.462922,-121.4166888
Methodist Hospital of Sacramento;38.462922,-121.4166888
Methodist Hospital of Sacramento;38.462922,-121.4166888
Methodist Hospital of Sacramento;38.462922,-121.4166888
Methodist Hospital of Southern CA, Arcadia;,
Methodist Hospital of Southern CA, Arcadia;,
Methodist Hospital of Southern CA, Arcadia;,
Methodist Hospital of Southern CA, Arcadia;,
Methodist Hospital of Southern CA, Arcadia;,
Mills-Peninsula Medical Center, Burlingame;37.5926377,-122.3824617
Mills-Peninsula Medical Center, Burlingame;37.5926377,-122.3824617
Mills-Peninsula Medical Center, Burlingame;37.5926377,-122.3824617
Mills-Peninsula Medical Center, Burlingame;37.5926377,-122.3824617
Mission Community Hospital, Panorama;34.22041,-118.456681
Mission Hospital Laguna Beach;33.5004316,-117.740636
Mission Hospital Regional Medical Center, Mission Viejo;,
Mission Hospital Regional Medical Center, Mission Viejo;,
Mission Hospital Regional Medical Center, Mission Viejo;,
Mission Hospital Regional Medical Center, Mission Viejo;,
Mission Hospital Regional Medical Center, Mission Viejo;33.5610035,-117.6653186
Modoc Medical Center, Alturas;41.48012,-120.545611
Monrovia Memorial Hospital;34.1487876,-117.9926634
Montclair Hospital Medical Center;34.0787377,-117.6959752
Natividad Medical Center, Salinas;36.6590182,-121.6445322
Natividad Medical Center, Salinas;36.6590182,-121.6445322
Natividad Medical Center, Salinas;36.6590182,-121.6445322
Northbay Medical Center, Fairfield;38.2616986,-122.0478762
Northbay Medical Center, Fairfield;38.2616986,-122.0478762
Northbay Medical Center, Fairfield;38.2616986,-122.0478762
Northbay Medical Center, Fairfield;38.2616986,-122.0478762
Northbay Vacavalley Hospital, Vacaville;38.355856,-121.95196
Northern Inyo Hospital, Bishop;37.3618043,-118.4066346
Northridge Hospital Medical Center;34.2201768,-118.5341074
Northridge Hospital Medical Center;34.2201768,-118.5341074
Northridge Hospital Medical Center;34.2201768,-118.5341074
Northridge Hospital Medical Center;34.2201768,-118.5341074
Northridge Hospital Medical Center;34.2201768,-118.5341074
Novato Community Hospital;38.0990618,-122.560113
Oak Valley Hospital District   (2-Rh), Oakdale;44.9630216,-92.9649361
O'connor Hospital, San Jose;37.3279554,-121.9382142
O'connor Hospital, San Jose;37.3279554,-121.9382142
O'connor Hospital, San Jose;37.3279554,-121.9382142
O'connor Hospital, San Jose;,
Ojai Valley Community Hospital, Ojai;,
Olympia Medical Center, Los Angeles;,
Olympia Medical Center, Los Angeles;34.0572246,-118.3602568
Orange Coast Memorial Medical Center, Fountain Valley;33.7014214,-117.9556561
Orange Coast Memorial Medical Center, Fountain Valley;33.7014214,-117.9556561
Orange Coast Memorial Medical Center, Fountain Valley;33.7014214,-117.9556561
Orange Coast Memorial Medical Center, Fountain Valley;33.7014214,-117.9556561
Oroville Hospital;39.5066146,-121.5409253
Oroville Hospital;39.5066146,-121.5409253
Oroville Hospital;39.5066146,-121.5409253
Pacific Alliance Medical Center;34.0657433,-118.2411417
Pacific Alliance Medical Center;34.0657433,-118.2411417
Pacifica Hospital of The Valley, Sun Valley;34.240185,-118.396317
Palm Drive Hospital, Sebastopol;38.3972113,-122.8193803
Palmdale Regional Medical Center;34.583026,-118.144823
Palmdale Regional Medical Center;34.583026,-118.144823
Palo Verde Hospital, Blythe;33.6128856,-114.5949789
Palomar Health Downtown Campus, Escondido;33.1250403,-117.0754841
Palomar Health Downtown Campus, Escondido;33.1250403,-117.0754841
Palomar Health Downtown Campus, Escondido;33.1250403,-117.0754841
Palomar Health Downtown Campus, Escondido;33.1250403,-117.0754841
Palomar Health Downtown Campus, Escondido;33.1250403,-117.0754841
Paradise Valley Hospital, National City;32.685397,-117.0822236
Paradise Valley Hospital, National City;32.685397,-117.0822236
Paradise Valley Hospital, National City;32.685397,-117.0822236
Parkview Community Hospital Medical Center, Riverside;33.9268524,-117.4389773
Parkview Community Hospital Medical Center, Riverside;33.9268524,-117.4389773
Parkview Community Hospital Medical Center, Riverside;33.9268524,-117.4389773
Parkview Community Hospital Medical Center, Riverside;33.9268524,-117.4389773
Parkview Community Hospital Medical Center, Riverside;33.9268524,-117.4389773
Petaluma Valley Hospital, Petaluma;38.2548171,-122.6316312
Pioneers Memorial Healthcare District, Brawley;32.9786566,-115.530267
Pioneers Memorial Healthcare District, Brawley;32.9786566,-115.530267
Placentia Linda Hospital;33.8870924,-117.8432982
Placentia Linda Hospital;33.8870924,-117.8432982
Plumas District Hospital, Quincy;39.9399918,-120.9616389
Pomerado Hospital, Poway;32.9971795,-117.0555104
Pomerado Hospital, Poway;32.9971795,-117.0555104
Pomona Valley Hospital Medical Center, Pomona;34.0774489,-117.7505447
Pomona Valley Hospital Medical Center, Pomona;34.0774489,-117.7505447
Pomona Valley Hospital Medical Center, Pomona;34.0774489,-117.7505447
Porterville Developmental Center;36.0405625,-118.9834284
Presbyterian Intercommunity Hospital, Whittier;,
Presbyterian Intercommunity Hospital, Whittier;,
Promise Hospital of East LA-East L.A Campus, Los Angeles;,
Promise Hospital of East LA-Suburban Campus, Paramount;,
Promise Hospital of San Diego;32.7494987,-117.0766633
Providence Holy Cross Medical Center, Mission Hills;34.2798866,-118.4600261
Providence Holy Cross Medical Center, Mission Hills;34.2798866,-118.4600261
Providence Holy Cross Medical Center, Mission Hills;34.2798866,-118.4600261
Providence Holy Cross Medical Center, Mission Hills;34.2798866,-118.4600261
Providence Holy Cross Medical Center, Mission Hills;34.2798866,-118.4600261
Providence Little Company of Mary Medical Center, San Pedro;33.7382856,-118.3048191
Providence Little Company of Mary Medical Center, San Pedro;33.7382856,-118.3048191
Providence Little Company of Mary Medical Center, Torrance;33.838468,-118.3572685
Providence Little Company of Mary Medical Center, Torrance;33.838468,-118.3572685
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Saint Joseph Medical Center, Burbank;34.1570439,-118.3280958
Providence Tarzana Medical Center, Tarzana;34.1707913,-118.5317246
Providence Tarzana Medical Center, Tarzana;34.1707913,-118.5317246
Providence Tarzana Medical Center, Tarzana;34.1707913,-118.5317246
Providence Tarzana Medical Center, Tarzana;34.1707913,-118.5317246
Queen of The Valley Medical Center, Napa;38.3244148,-122.2966883
Queen of The Valley Medical Center, Napa;38.3244148,-122.2966883
Queen of The Valley Medical Center, Napa;38.3244148,-122.2966883
Rady Children's Hospital, San Diego;32.797953,-117.1511266
Redlands Community Hospital;34.0371612,-117.2048053
Redlands Community Hospital;34.0371612,-117.2048053
Redlands Community Hospital;34.0371612,-117.2048053
Redlands Community Hospital;34.0371612,-117.2048053
Redlands Community Hospital;34.0371612,-117.2048053
Redwood Memorial Hospital, Fortuna;40.5820535,-124.1364612
Regional Medical Center of San Jose;37.362567,-121.849745
Regional Medical Center of San Jose;37.362567,-121.849745
Regional Medical Center of San Jose;37.362567,-121.849745
Regional Medical Center of San Jose;37.362567,-121.849745
Ridgecrest Regional Hospital;35.6407232,-117.6706186
Riverside Community Hospital;,
Riverside Community Hospital;33.9766859,-117.3818015
Riverside Community Hospital;33.9766859,-117.3818015
Riverside Community Hospital;33.9766859,-117.3818015
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Riverside County Regional Medical Center, Moreno Valley;33.9116551,-117.195876
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Ronald Reagan UCLA Medical Center, Los Angeles;34.0664497,-118.4463767
Saddleback Memorial Medical Center, Laguna Hills;33.608078,-117.710052
Saddleback Memorial Medical Center, Laguna Hills;33.608078,-117.710052
Saddleback Memorial Medical Center, Laguna Hills;33.608078,-117.710052
Saint Agnes Medical Center, Fresno;36.835299,-119.766168
Saint Agnes Medical Center, Fresno;36.835299,-119.766168
Saint Agnes Medical Center, Fresno;36.835299,-119.766168
Saint Agnes Medical Center, Fresno;36.835299,-119.766168
Saint Francis Medical Center, Lynwood;33.9296315,-118.2033179
Saint Francis Medical Center, Lynwood;33.9296315,-118.2033179
Saint Francis Memorial Hospital, San Francisco;37.7896321,-122.417004
Saint Francis Memorial Hospital, San Francisco;37.7896321,-122.417004
Saint John's Health Center, Santa Monica;34.0307639,-118.4795102
Saint John's Health Center, Santa Monica;34.0307639,-118.4795102
Saint John's Health Center, Santa Monica;34.0307639,-118.4795102
Saint John's Health Center, Santa Monica;34.0307639,-118.4795102
Saint Louise Regional Hospital, Gilroy;37.0369595,-121.5718661
Saint Vincent Medical Center, Los Angeles;34.063893,-118.27347
Saint Vincent Medical Center, Los Angeles;34.063893,-118.27347
Saint Vincent Medical Center, Los Angeles;34.063893,-118.27347
Salinas Valley Memorial Hospital;36.659331,-121.6464916
Salinas Valley Memorial Hospital;36.659331,-121.6464916
Salinas Valley Memorial Hospital;36.659331,-121.6464916
Salinas Valley Memorial Hospital;36.659331,-121.6464916
Salinas Valley Memorial Hospital;36.659331,-121.6464916
San Antonio Community Hospital, Upland;34.1085445,-117.5559546
San Antonio Community Hospital, Upland;34.1085445,-117.5559546
San Antonio Community Hospital, Upland;34.1085445,-117.5559546
San Dimas Community Hospital;34.0976356,-117.8344398
San Francisco General Hospital;37.7554053,-122.4046254
San Francisco General Hospital;37.7554053,-122.4046254
San Francisco General Hospital;37.7554053,-122.4046254
San Francisco General Hospital;37.7554053,-122.4046254
San Gabriel Valley Medical Center, San Gabriel;34.101692,-118.1060006
San Gabriel Valley Medical Center, San Gabriel;34.101692,-118.1060006
San Gorgonio Memorial Hospital, Banning;33.9318332,-116.9458713
San Gorgonio Memorial Hospital, Banning;33.9318332,-116.9458713
San Gorgonio Memorial Hospital, Banning;33.9318332,-116.9458713
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin Community Hospital, Bakersfield;35.3846165,-119.0191873
San Joaquin General Hospital, French Camp;37.8880292,-121.2845034
San Joaquin General Hospital, French Camp;37.8880292,-121.2845034
San Joaquin Valley Rehab Hospital, Fresno;36.8402868,-119.7599555
San Leandro Hospital;37.712907,-122.143203
San Mateo Medical Center;37.5311252,-122.3001215
San Ramon Regional Medical Center;37.775768,-121.958237
San Ramon Regional Medical Center;37.775768,-121.958237
San Ramon Regional Medical Center;,
Santa Barbara Cottage Hospital;,
Santa Barbara Cottage Hospital;,
Santa Barbara Cottage Hospital;34.4295082,-119.7233299
Santa Barbara Cottage Hospital;34.4295082,-119.7233299
Santa Barbara Cottage Hospital;34.4295082,-119.7233299
Santa Barbara Cottage Hospital;34.4295082,-119.7233299
Santa Barbara Cottage Hospital;34.4295082,-119.7233299
Santa Clara Valley Medical Center, San Jose;37.3137621,-121.933259
Santa Clara Valley Medical Center, San Jose;37.3137621,-121.933259
Santa Clara Valley Medical Center, San Jose;37.3137621,-121.933259
Santa Clara Valley Medical Center, San Jose;37.3137621,-121.933259
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Monica, UCLA Medical Center and Orthopaedic;34.0271101,-118.4865788
Santa Rosa Memorial Hospital;38.4436447,-122.7012388
Santa Rosa Memorial Hospital;38.4436447,-122.7012388
Santa Rosa Memorial Hospital;38.4436447,-122.7012388
Santa Rosa Memorial Hospital;38.4436447,-122.7012388
Santa Rosa Memorial Hospital;38.4436447,-122.7012388
Scripps Green Hospital, La Jolla;32.8968644,-117.2429933
Scripps Green Hospital, La Jolla;32.8968644,-117.2429933
Scripps Green Hospital, La Jolla;32.8968644,-117.2429933
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, Encinitas;33.0372636,-117.2835548
Scripps Memorial Hospital, La Jolla;32.8840052,-117.2239005
Scripps Memorial Hospital, La Jolla;32.8840052,-117.2239005
Scripps Memorial Hospital, La Jolla;32.8840052,-117.2239005
Scripps Memorial Hospital, La Jolla;32.8840052,-117.2239005
Scripps Mercy Hospital, San Diego;32.7480894,-117.0994412
Scripps Mercy Hospital, San Diego;32.7480894,-117.0994412
Scripps Mercy Hospital, San Diego;32.7480894,-117.0994412
Scripps Mercy Hospital, San Diego;32.7480894,-117.0994412
Sequoia Hospital, Redwood City;37.480004,-122.254405
Sequoia Hospital, Redwood City;37.480004,-122.254405
Sequoia Hospital, Redwood City;37.480004,-122.254405
Seton Medical Center, Daly City;37.6794971,-122.4740449
Seton Medical Center, Daly City;37.6794971,-122.4740449
Seton Medical Center, Daly City;37.6794971,-122.4740449
Sharp Chula Vista Medical Center;32.6190966,-117.0232959
Sharp Chula Vista Medical Center;32.6190966,-117.0232959
Sharp Chula Vista Medical Center;32.6190966,-117.0232959
Sharp Chula Vista Medical Center;32.6190966,-117.0232959
Sharp Chula Vista Medical Center;32.6190966,-117.0232959
Sharp Coronado Hospital and Healthcare Center;,
Sharp Mary Birch for Women & Newborns, San Diego;32.798296,-117.155427
Sharp Mary Birch for Women & Newborns, San Diego;32.798296,-117.155427
Sharp Memorial Hospital, San Diego;32.7995659,-117.1541679
Sharp Memorial Hospital, San Diego;32.7995659,-117.1541679
Sharp Memorial Hospital, San Diego;32.7995659,-117.1541679
Sharp Memorial Hospital, San Diego;32.7995659,-117.1541679
Shasta Regional Medical Center, Redding;40.5853178,-122.387025
Shasta Regional Medical Center, Redding;40.5853178,-122.387025
Sherman Oaks Hospital;34.1602912,-118.4498289
Sherman Oaks Hospital;34.1602912,-118.4498289
Sherman Oaks Hospital;34.1602912,-118.4498289
Shriners Hospitals for Children North CA, Sacramento;38.5529862,-121.4553235
Sierra Nevada Memorial Hospital, Grass Valley;39.2279969,-121.047485
Sierra Nevada Memorial Hospital, Grass Valley;39.2279969,-121.047485
Sierra Nevada Memorial Hospital, Grass Valley;39.2279969,-121.047485
Sierra View District Hospital, Porterville;36.0694145,-119.0279126
Sierra View District Hospital, Porterville;36.0694145,-119.0279126
Sierra Vista Regional Medical Center, San Luis Obispo;35.291881,-120.666355
Sierra Vista Regional Medical Center, San Luis Obispo;35.291881,-120.666355
Sierra Vista Regional Medical Center, San Luis Obispo;35.291881,-120.666355
Sierra Vista Regional Medical Center, San Luis Obispo;35.291881,-120.666355
Silver Lake Medical Center, Los Angeles;34.0695831,-118.2634431
Simi Valley Hospital & Health Care Services;34.2891994,-118.7449442
Simi Valley Hospital & Health Care Services;34.2891994,-118.7449442
Simi Valley Hospital & Health Care Services;34.2891994,-118.7449442
Sonoma Developmental Center, Eldridge;38.3485501,-122.5177066
Sonoma Valley Hospital;38.2879752,-122.4653001
Sonora Regional Medical Center Campus #1;,
Sonora Regional Medical Center Campus #1;,
Sonora Regional Medical Center Campus #1;,
Sonora Regional Medical Center Campus #1;,
Southern California Hospital at Culiver City;34.0230343,-118.3974148
Southern California Hospital at Culiver City;34.0230343,-118.3974148
Southern California Hospital at Culiver City;34.0230343,-118.3974148
Southern California Hospital at Hollywood;34.0928092,-118.3286614
Southwest Healthcare Systems, Murrieta;33.5539143,-117.2139232
Southwest Healthcare Systems, Murrieta;33.5539143,-117.2139232
St Bernardine Medical Center;34.1350623,-117.2760536
St Bernardine Medical Center;34.1350623,-117.2760536
St Bernardine Medical Center;34.1350623,-117.2760536
St Bernardine Medical Center;34.1350623,-117.2760536
St Elizabeth Community Hospital, Red Bluff;40.148442,-122.21937
St Elizabeth Community Hospital, Red Bluff;40.148442,-122.21937
St Helena Hospital, Clearlake;38.9356337,-122.620177
St Helena Hospital, Clearlake;38.9356337,-122.620177
St Helena Hospital, St Helena;38.5424625,-122.4746755
St Helena Hospital, St Helena;38.5424625,-122.4746755
St John's Pleasant Valley Hospital, Arillo;,
St John's Regional Medical Center, Oxnard;34.2168617,-119.1560113
St John's Regional Medical Center, Oxnard;34.2168617,-119.1560113
St John's Regional Medical Center, Oxnard;34.2168617,-119.1560113
St John's Regional Medical Center, Oxnard;34.2168617,-119.1560113
St Joseph Hospital, Eureka;40.7840247,-124.1422104
St Joseph Hospital, Eureka;40.7840247,-124.1422104
St Joseph Hospital, Orange;33.7808113,-117.8644398
St Joseph Hospital, Orange;33.7808113,-117.8644398
St Joseph Hospital, Orange;33.7808113,-117.8644398
St Joseph Hospital, Orange;33.7808113,-117.8644398
St Joseph Hospital, Orange;33.7808113,-117.8644398
St Joseph's Medical Center of Stockton;37.9701198,-121.2881846
St Joseph's Medical Center of Stockton;37.9701198,-121.2881846
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Jude Medical Center, Fullerton;33.8931976,-117.9312137
St Mary Medical Center, Apple Valley;34.5414965,-117.2656976
St Mary Medical Center, Apple Valley;34.5414965,-117.2656976
St Mary Medical Center, Apple Valley;34.5414965,-117.2656976
St Mary Medical Center, Apple Valley;34.5414965,-117.2656976
St Mary Medical Center, Long Beach;33.779639,-118.188368
St Mary Medical Center, Long Beach;33.779639,-118.188368
St Mary Medical Center, Long Beach;33.779639,-118.188368
St Mary Medical Center, Long Beach;33.779639,-118.188368
St Mary Medical Center, Long Beach;33.779639,-118.188368
St Mary's Medical Center, San Francisco;37.7740764,-122.4536761
St Mary's Medical Center, San Francisco;37.7740764,-122.4536761
St Mary's Medical Center, San Francisco;37.7740764,-122.4536761
St Rose Hospital, Hayward;37.6336434,-122.0881366
Stanford Hospital, Stanford;37.4331726,-122.1756166
Stanford Hospital, Stanford;37.4331726,-122.1756166
Stanford Hospital, Stanford;37.4331726,-122.1756166
Stanford Hospital, Stanford;37.4331726,-122.1756166
Stanford Hospital, Stanford;37.4331726,-122.1756166
Stanislaus Surgical Hospital, Modesto;37.664726,-120.95838
Sutter Amador Hospital, Jackson;38.349998,-120.763336
Sutter Auburn Faith Hospital, Auburn;38.9451379,-121.1017358
Sutter Coast Hospital, Crescent City;41.77278,-124.194442
Sutter Davis Hospital, Davis;38.5629167,-121.7713004
Sutter Delta Medical Center, Antioch;37.9822395,-121.803621
Sutter Delta Medical Center, Antioch;37.9822395,-121.803621
Sutter Delta Medical Center, Antioch;37.9822395,-121.803621
Sutter Delta Medical Center, Antioch;37.9822395,-121.803621
Sutter General Hospital, Sacramento;38.5708563,-121.4697681
Sutter General Hospital, Sacramento;38.5708563,-121.4697681
Sutter General Hospital, Sacramento;38.5708563,-121.4697681
Sutter General Hospital, Sacramento;38.5708563,-121.4697681
Sutter General Hospital, Sacramento;38.5708563,-121.4697681
Sutter Lakeside Hospital, Lakeport;39.104985,-122.907109
Sutter Maternity & Surgery Center of Santa Cruz;36.987693,-121.977463
Sutter Roseville Medical Center;38.765139,-121.249789
Sutter Roseville Medical Center;38.765139,-121.249789
Sutter Roseville Medical Center;38.765139,-121.249789
Sutter Roseville Medical Center;38.765139,-121.249789
Sutter Roseville Medical Center;38.765139,-121.249789
Sutter Solano Medical Center, Vallejo;38.131184,-122.237323
Sutter Solano Medical Center, Vallejo;38.131184,-122.237323
Sutter Surgical Hospital, North Valley, Yuba City;39.1315779,-121.61339
Sutter Tracy Community Hospital;37.730941,-121.425277
Sutter Tracy Community Hospital;37.730941,-121.425277
Tahoe Forest Hospital, Truckee;39.325816,-120.2009439
Temple Community Hospital, Los Angeles;34.075401,-118.2839047
The General Hospital, Eureka;40.7877664,-124.1397156
Torrance Memorial Medical Center, Torrance;33.8113103,-118.343638
Torrance Memorial Medical Center, Torrance;33.8113103,-118.343638
Torrance Memorial Medical Center, Torrance;33.8113103,-118.343638
Torrance Memorial Medical Center, Torrance;33.8113103,-118.343638
Torrance Memorial Medical Center, Torrance;33.8113103,-118.343638
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Tri-City Medical Center, Oceanside;33.185548,-117.290608
Trinity Hospital, Weaverville;40.7385489,-122.9391285
Tulare Regional Medical Center;36.3230788,-119.3459217
Tulare Regional Medical Center;36.3230788,-119.3459217
Tulare Regional Medical Center;36.3230788,-119.3459217
Twin Cities Community Hospital, Templeton;35.5554364,-120.7205821
Twin Cities Community Hospital, Templeton;35.5554364,-120.7205821
Twin Cities Community Hospital, Templeton;35.5554364,-120.7205821
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
UCSF Medical Center, San Francisco;37.7703639,-122.3906363
Ukiah Valley Medical Center/Hospital Drive, Ukiah;39.153498,-123.20435
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Davis Medical Center, Sacramento;38.5521112,-121.449874
University of California Irvine Medical Center, Orange;33.647,-117.8414
University of California Irvine Medical Center, Orange;33.647,-117.8414
University of California Irvine Medical Center, Orange;33.647,-117.8414
University of California Irvine Medical Center, Orange;33.647,-117.8414
University of California Irvine Medical Center, Orange;33.647,-117.8414
University of California, San Diego Medical Center;32.877611,-117.2275102
University of California, San Diego Medical Center;32.877611,-117.2275102
University of California, San Diego Medical Center;32.877611,-117.2275102
University of California, San Diego Medical Center;32.877611,-117.2275102
University of California, San Diego Medical Center;32.877611,-117.2275102
USC Verdugo Hills Hospital, Glendale;34.204945,-118.21589
USC Verdugo Hills Hospital, Glendale;34.204945,-118.21589
USC Verdugo Hills Hospital, Glendale;34.204945,-118.21589
Valley Presbyterian Hospital, Van Nuys;34.1950554,-118.4636308
Valley Presbyterian Hospital, Van Nuys;34.1950554,-118.4636308
Valley Presbyterian Hospital, Van Nuys;34.1950554,-118.4636308
